layer,E_falqon_x,E_tr_x,E_so_x,P_falqon_x,P_tr_x,P_so_x,E_falqon_xy,E_tr_xy,E_so_xy,P_falqon_xy,P_tr_xy,P_so_xy,E_falqon_warm,E_tr_warm,E_so_warm,P_falqon_warm,P_tr_warm,P_so_warm
415,-0.003629409675998771,-0.00647814937862067,-0.00497776550409588,0.42332655871223884,0.5792125593334803,0.5729903098198644,-0.006477547004145491,-0.006391556479416768,0.0028875889190470745,0.6263152352264755,0.5921638124892522,0.4091158858135814,0.015301880435507453,0.02535782751547963,0.01289854256760661,0.6054056968169267,0.5946296587114455,0.6002198745958869
416,-0.0036385296304528754,-0.006485291216019022,-0.00498806442188384,0.424606859396398,0.5796464679150962,0.5732557105909202,-0.006478342550537365,-0.0063916862812659295,0.002881028960700172,0.6264454114061447,0.5921690326273458,0.4103602365605735,0.015288622268300443,0.02535767840880139,0.012892977811314554,0.6052442773478407,0.5946682850092881,0.6001199284926183
417,-0.00364887140107281,-0.006491545920155996,-0.0049877348164652675,0.4259556447284658,0.5800346801847002,0.5732486932038239,-0.006479162241142489,-0.0063920073627588055,0.0028746398783660665,0.6265805668831987,0.5921791184400146,0.41159954708061963,0.015273985337693256,0.025356894674606997,0.012890852726883341,0.6048757489090496,0.5946464415314887,0.599975081253158
418,-0.0036605348304920068,-0.006498277361082468,-0.004998946044312497,0.4273715588256955,0.5804337824573841,0.5734678888282516,-0.0064798989597166425,-0.0063922488207788595,0.0028685166917859443,0.6267120317217905,0.592186662114214,0.41282437977944,0.015265483014526167,0.02535473509840478,0.01289102309875682,0.6044069033368782,0.5945353770690901,0.5999357290577481
419,-0.003673474479768065,-0.006506049273890894,-0.004997542282984105,0.4288456546917483,0.580879127043478,0.57344139615941,-0.00648046097453299,-0.006392218688758491,0.002862747399328229,0.6268303671210479,0.592187731249344,0.41402441045775923,0.015263702764242385,0.025355312763191758,0.012888979640363691,0.6040770074708369,0.5944795959631426,0.6000268935477291
420,-0.00368746489743661,-0.006514055185250445,-0.005005789912906594,0.430361655529877,0.5813531563092904,0.5736026281529415,-0.006480800852532152,-0.006392359493905472,0.0028574065094345348,0.626926216790921,0.5921889514589492,0.4151889491821729,0.015263842933429476,0.02535101619865443,0.012878810650060583,0.6040164383009748,0.5945783483124683,0.6001962858798213
421,-0.003702101788136825,-0.006521171946910544,-0.00500450562720452,0.4318973805039526,0.5818043870106012,0.573573040428266,-0.006480938081667946,-0.00639344841314528,0.00285254921051138,0.6269922451369916,0.5921989289488854,0.41630763678470917,0.015262926914912657,0.025344403075839107,0.012863208889043534,0.6041477626352849,0.5946477823940589,0.6001858553269029
422,-0.0037168503364157814,-0.006527318057265466,-0.005009997010125078,0.43342712605645667,0.5822000029915447,0.5737095168465607,-0.006480954324920757,-0.006395467396531026,0.0028482071076549407,0.6270253323260055,0.5922137472069808,0.4173712468686313,0.01526081147803495,0.025345015414737347,0.012848647417289883,0.6043413425259578,0.5946365093399562,0.5999211722463844
423,-0.0037311354265584236,-0.006533278647080934,-0.00500939079338031,0.4349246637575506,0.5825528909839479,0.573692205379854,-0.006480951823707541,-0.006397324842794809,0.0028443862552463353,0.6270278397123081,0.5922208231626126,0.41837249800492177,0.015257288968658503,0.025340013687508826,0.012842500205055226,0.6045439106012919,0.5946417601857611,0.5995459644406742
424,-0.003744450141453537,-0.006539615067641327,-0.0050148249012217806,0.43636644548014486,0.582892017018801,0.5738458863646606,-0.006480995257145945,-0.0063981155494847505,0.0028410678162623174,0.6270072034468736,0.5922170318108431,0.41930677231885727,0.01525126564265322,0.025323800315032747,0.012843079383946864,0.6047444296406759,0.5944894079515651,0.5994551891889306
425,-0.0037564488328493536,-0.006545957858878565,-0.0050148904371439176,0.4377345845846789,0.5832309918613829,0.5738476755229748,-0.006481079598782836,-0.0063981230916144065,0.0028382111721754065,0.6269740701962621,0.5922120500249035,0.4201726474906328,0.015242831664213289,0.025312984542618037,0.012835642303256397,0.6048924771944633,0.5941226092932126,0.5997131649085544
426,-0.0037669962313073317,-0.006551631449330907,-0.005022384801120335,0.43901920574471337,0.5835662224266795,0.5740483303487506,-0.006481152920886299,-0.006398178227066238,0.002835758820817246,0.6269399157582641,0.5922132447170261,0.4209721769571051,0.015236249246685277,0.025312423917333737,0.012809065504251886,0.6049186048673236,0.5938634842368186,0.60021146676999
