layer,E_falqon_x,E_tr_x,E_so_x,P_falqon_x,P_tr_x,P_so_x,E_falqon_xy,E_tr_xy,E_so_xy,P_falqon_xy,P_tr_xy,P_so_xy,E_falqon_warm,E_tr_warm,E_so_warm,P_falqon_warm,P_tr_warm,P_so_warm
141,-0.02028328765644383,-0.020313539762958403,-0.02011177658272363,0.7852699395950782,0.6980033885765535,0.6549897410275066,-0.021183168281864964,-0.021176272705360093,-0.021161959311735187,0.9961030811388589,0.9914918836977347,0.9928191403199993,-0.01864448599031621,-0.018733793877481267,-0.01882625873478029,0.7519304056401986,0.7513973548403251,0.7643887092688739
142,-0.020289394183360857,-0.020313830313556668,-0.02011191499496206,0.7870299226154515,0.6980660397703943,0.6550223555934269,-0.02118326242734335,-0.021176699205414047,-0.021162352562423756,0.9961260406330377,0.9916865263937293,0.9928722781436715,-0.01864510724693697,-0.018733340450251827,-0.018826303856115282,0.7522349964442704,0.7515918258079884,0.7643767956771049
143,-0.020295695564376447,-0.020314021845019455,-0.020111916504375653,0.7888127786915728,0.698109739622264,0.6550269440741411,-0.02118334584772186,-0.021176809850387165,-0.021162629737068013,0.9961466879512659,0.9917705715851818,0.9929032491909586,-0.018645638066128,-0.018731482474533226,-0.018826398454169387,0.7525050192553501,0.7512832308536378,0.7643352153590811
144,-0.02030213504516647,-0.020314099416367123,-0.020111915856229515,0.7905989327517006,0.6981326762464468,0.655028596805419,-0.021183414516284756,-0.021176854683452602,-0.021162828929348107,0.9961647210525834,0.9917962031522406,0.9929196580800514,-0.018645922261363582,-0.018737856508119825,-0.018826386849516433,0.7526905644902047,0.7520907540046919,0.7643045000378297
145,-0.02030866829691351,-0.020314131386292164,-0.0201119173798957,0.7923739152004287,0.6981451229028914,0.655026976303578,-0.021183466699532697,-0.021177035338506348,-0.021162978420029496,0.9961801648252898,0.9918401921778365,0.9929265907186925,-0.01864598339504979,-0.018736360008585754,-0.018826543553361,0.7527787308205461,0.7521312197022785,0.7643619505142856
146,-0.02031528042007231,-0.02031414519806428,-0.020111921219289664,0.7941309361473047,0.6981526268915844,0.6550234251611328,-0.02118350299511533,-0.02117741404688489,-0.021163098113375307,0.9961932133862706,0.991888455719754,0.9929271080261348,-0.018645979160776368,-0.018741385994620274,-0.018827242486750093,0.7527890251951191,0.7526462978911751,0.7645232091324253
147,-0.020321982226569165,-0.020314145650793994,-0.020111924089997676,0.7958692863996825,0.6981551056983583,0.6550214755250608,-0.021183525875336447,-0.02117748531793061,-0.02116320143973592,0.996204089742243,0.9918693610111403,0.9929227738312545,-0.018646030865836882,-0.018744754569955283,-0.01882791339411977,0.7527525819569597,0.7533840403201435,0.7646776094792718
148,-0.02032879351212147,-0.020314150068189266,-0.02011193036609317,0.797590402470242,0.6981546712143127,0.6550169637960009,-0.021183538859054333,-0.021177499788145933,-0.021163296992850352,0.9962129778877263,0.991876375821241,0.992914126763878,-0.01864613055987174,-0.01875221509375523,-0.018828024692844166,0.752699884536081,0.7545425044071371,0.764748694903362
149,-0.020335728014812773,-0.020314193830796298,-0.020111929566762568,0.7992944416252677,0.6981579987402868,0.655017306723348,-0.02118354555779857,-0.021177589300132957,-0.02116338955660292,0.9962200506896606,0.9919452101263458,0.9929010856874038,-0.018646200070805762,-0.018761781711645203,-0.01882804657752107,0.7526564864676503,0.7563019547278731,0.7647383044936018
150,-0.020342790088417825,-0.020314356066213568,-0.020111940312821437,0.8009791104567321,0.698175240456695,0.6550149254600934,-0.021183548910777575,-0.02117761019350932,-0.021163480582259746,0.9962255818350652,0.9919860540188664,0.9928833228749699,-0.01864621065767047,-0.018761735873914113,-0.018828160503277472,0.7526369262155196,0.7563905803342891,0.7646788619150402
151,-0.0203499819508121,-0.020314723563248527,-0.020111942232350646,0.8026404774413082,0.6982146801902901,0.6550148168366937,-0.021183550874080484,-0.02117765144155899,-0.021163568481571568,0.9962301003108361,0.9920151589433577,0.992860642324719,-0.018646213144640485,-0.018761008508646097,-0.01882813210000756,0.7526385754627012,0.7563853483184139,0.7646600444749566
152,-0.0203573106958304,-0.02031521635568361,-0.020111966519748056,0.8042740278843502,0.6982679830237173,0.6550156269961538,-0.021183552653223088,-0.021178286450971702,-0.021163649192690273,0.9962345277047006,0.992270218967111,0.9928333702592377,-0.018646262964976578,-0.018759451173152808,-0.018828551151734933,0.7526455434396975,0.7560070150911941,0.7647093777114526
153,-0.020364783540565826,-0.020315663290405853,-0.02011197427221463,0.8058743168346978,0.6983186126173406,0.6550162073280924,-0.021183555341619406,-0.021179688544706313,-0.021163717326982093,0.9962402377401497,0.9927964014745677,0.9928027189179514,-0.018646360665491208,-0.018770920112125892,-0.01882962381696784,0.7526429333195099,0.7568366899636466,0.7647029946775598
154,-0.02037238925268381,-0.020316086563308296,-0.020112015724973283,0.807433168098656,0.6983643862017564,0.655020434273709,-0.02118356066727984,-0.0211806155880006,-0.021163767904663913,0.9962489968318057,0.9932389358634051,0.9927710463763784,-0.018646474820220874,-0.018789536459674457,-0.018830456763829776,0.7526267628092458,0.7583689961040431,0.7645770375341325
155,-0.02038007654142977,-0.02031669512721879,-0.020112013856512893,0.8089381138401034,0.6984158337209467,0.6550201983033195,-0.021183571527097652,-0.021181083879952763,-0.021163798386589036,0.9962627793141818,0.9934844992404477,0.9927419241266658,-0.01864658419879366,-0.018794182789778836,-0.018830630227137875,0.7526011213742758,0.7591488030526022,0.7644576653178323
156,-0.020387747170837286,-0.020317653936321737,-0.020112045371481372,0.810373141106806,0.6984726322786803,0.6550260302386269,-0.021183592084502753,-0.021181733653515736,-0.021163810523080587,0.9962834883481694,0.9937181403334678,0.9927199477061102,-0.018646687834119376,-0.018797365708028216,-0.018830623830797793,0.7525710788607483,0.7596671235126125,0.7644477948819478
157,-0.02039527571077055,-0.020318674038619658,-0.020112046357929167,0.8117223123779476,0.6985106618980963,0.6550272661561182,-0.021183627351945566,-0.021182795102828503,-0.02116381149787451,0.9963126394299593,0.9940329277782814,0.9927102758832688,-0.018646799069221624,-0.018796929852929956,-0.01883073667109891,0.7525388568430172,0.7598536757611997,0.764511605082236
